"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 27 16:10:13 GMT 2022","Tue Sep 27 16:10:21 GMT 2022","7974","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","createTopic","should create a topic",""
"failed","Tue Sep 27 16:10:00 GMT 2022","Tue Sep 27 16:10:13 GMT 2022","12748","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","deleteTopic","should delete topic",""
"failed","Tue Sep 27 16:09:22 GMT 2022","Tue Sep 27 16:09:35 GMT 2022","12106","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaJson","should delete JSON schema",""
"passed","Tue Sep 27 16:10:47 GMT 2022","Tue Sep 27 16:10:58 GMT 2022","11378","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","createConnector","should create a connector",""
"failed","Tue Sep 27 16:11:10 GMT 2022","Tue Sep 27 16:11:23 GMT 2022","12398","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","updateConnector","should update a connector",""
"skipped","Tue Sep 27 16:10:13 GMT 2022","Tue Sep 27 16:10:13 GMT 2022","0","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","updateTopic","should update a topic",""
"failed","Tue Sep 27 16:10:58 GMT 2022","Tue Sep 27 16:11:10 GMT 2022","11713","","com.provectus.kafka.ui.tests.ConnectorsTests","","com.provectus.kafka.ui.tests.ConnectorsTests","deleteConnector","should delete connector",""
"failed","Tue Sep 27 16:09:38 GMT 2022","Tue Sep 27 16:09:50 GMT 2022","12083","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaProtobuf","should delete PROTOBUF schema",""
"passed","Tue Sep 27 16:11:28 GMT 2022","Tue Sep 27 16:11:30 GMT 2022","2630","","com.provectus.kafka.ui.SmokeTests","","com.provectus.kafka.ui.SmokeTests","mainPageLoads","main page should load",""
"failed","Tue Sep 27 16:10:21 GMT 2022","Tue Sep 27 16:10:32 GMT 2022","11230","","com.provectus.kafka.ui.tests.TopicTests","","com.provectus.kafka.ui.tests.TopicTests","produceMessage","produce message",""
"passed","Tue Sep 27 16:08:31 GMT 2022","Tue Sep 27 16:08:47 GMT 2022","15414","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaAvro","should create AVRO schema",""
"passed","Tue Sep 27 16:09:19 GMT 2022","Tue Sep 27 16:09:22 GMT 2022","3806","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaJson","should create JSON schema",""
"failed","Tue Sep 27 16:08:47 GMT 2022","Tue Sep 27 16:09:05 GMT 2022","17947","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","updateSchemaAvro","should update AVRO schema",""
"passed","Tue Sep 27 16:09:35 GMT 2022","Tue Sep 27 16:09:38 GMT 2022","3524","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","createSchemaProtobuf","should create PROTOBUF schema",""
"failed","Tue Sep 27 16:09:05 GMT 2022","Tue Sep 27 16:09:19 GMT 2022","13669","","com.provectus.kafka.ui.tests.SchemasTests","","com.provectus.kafka.ui.tests.SchemasTests","deleteSchemaAvro","should delete AVRO schema",""
